attendance_percentage,avg_marks,assignments_submitted,behavior_score,at_risk
56.217808319315374,75.85293712157961,7,7,1
96.55000144869413,62.88770930752963,2,6,1
81.23957592679835,44.76220930290622,7,1,0
71.90609389379256,85.10360157655589,4,9,0
40.921304830970556,74.77849380431034,0,9,1
40.91961642353419,33.00935514759131,6,2,1
34.06585285177396,92.8741747595074,4,3,1
90.63233020424546,85.80297943385352,5,5,0
72.07805082202461,95.98399306335392,5,5,0
79.56508044572318,78.0575606710688,7,1,0
31.440914600706172,69.07321567486319,8,8,1
97.8936896513396,53.45944290324951,1,8,1
88.27098485602951,94.61827866832107,8,4,0
44.863737747479334,89.28511116003267,10,7,1
42.72774770449704,23.617493608495153,9,10,1
42.83831568974037,22.109357959780162,8,3,1
51.29695700716764,50.117069350243966,9,6,1
66.73295021425665,84.84426646254663,9,10,0
60.2361513049481,98.98209034519556,6,10,0
50.386039813862936,32.033351288282255,0,9,1
72.82970263056657,67.5304572281708,6,1,0
39.76457024564293,50.47126853048172,9,5,1
50.45012539746527,97.59315182516826,4,4,1
55.645329030558415,87.36951385085669,5,8,1
61.92489889519251,87.06629637689103,9,1,0
84.96231729751095,57.49545278359762,6,9,0
43.97716475108518,53.185560187013216,4,6,1
65.9964106889528,41.8725657544565,6,4,0
71.46901982034296,24.51003973207417,8,9,1
33.25152889039984,89.17779010040425,2,5,1
72.5281396331007,85.03208073040621,7,5,0
41.936688658110405,99.97741386289044,1,5,1
34.55361150896957,99.73094696591244,10,1,1
96.42198760773333,64.4345364482102,6,1,0
97.59424231521916,81.51899321444084,1,8,1
86.58781436815228,95.58125839059424,3,8,1
51.32296384213595,87.97179125419292,6,6,1
36.83704798044687,39.78784813945581,2,4,1
77.89631185585098,56.04353082480748,1,2,1
60.81067456177209,30.3327532121196,10,2,1
38.54267643913452,96.32408218069779,9,9,1
64.6623837077889,68.49397075607041,6,5,0
32.40719647806529,38.29142444027702,0,4,1
93.65242814551475,73.73605475246853,7,10,0
48.11459871200118,69.45025923663167,2,1,1
76.37655990477873,48.65301744262724,1,7,1
51.819775326258764,29.08460737597032,2,3,1
66.40476148244676,73.72585564742397,4,6,0
68.26971955402958,61.62461607230347,10,5,0
42.93981188678689,81.78547133885115,7,5,1
97.8709239435191,61.61308008895947,9,5,0
84.25929763527802,88.1745200254832,6,1,0
95.76492590949324,64.15254710195885,6,1,0
